a bit (of)
a few
a kind of
a little
a number of
a pair of
a piece of
a place of interest
a set of
abandon
ability
able
aboard
Aborigines
about
above
above all
abroad
absence
absent
absolutely
absorb
abstract
accent
accept
access
accident
according
according to
account
accurate
accuse
accustomed
ache
achieve
achievement
acknowledge
acquire
across
act
action
active
activity
actor
actress
actual
AD
adapt
add
addition
address
adjust
administration
admirable
admire
admission
admit
adopt
adult
advance
advanced
advantage
adventure
advertise
advertisement
advice
advise
advocate
aeroplane
affair
affect
afford
afraid
Africa
African
after
after a while
after all
after class
after school
afternoon
afterward
afterwards
again
again and again
against
age
agency
agent
aggressive
ago
agree
agree on
agreement
agricultural
agriculture
ahead
aid
aim
air
aircraft
airline
airport
alarm
album
alcohol
alike
alive
all
all kinds of
all over
all right
all sorts of
all the best
all the same
all the time
all the year round
allow
almost
alone
along
alongside
aloud
already
also
although
altogether
always
amaze
amazing
ambition
ambulance
America
American
among
amount
amuse
amusement
analyse
analysis
ancestor
ancient
and
and so on
anger
angle
angry
animal
anniversary
announce
announcement
annoy
annual
another
answer
answering machine
ant
Antarctica
anxiety
anxious
any
anybody
anyhow
anyone
anything
anyway
anywhere
apart
apart from
apartment
apologize
appeal
appear
appearance
appetite
applaud
apple
application
apply
appoint
appointment
appreciate
appreciation
approach
appropriate
approve
approximately
April
architecture
area
argue
argument
arm
armchair
army
around
arrange
arrest
arrival
arrive
art
article
artificial
artist
as
as a matter of fact
as a result
as soon as
as usual
as well
as well as
as...as
ash
ashamed
ashtray
Asia
Asian
ask
asleep
aspect
assess
assist
assistant
association
astonish
astonishing
astonishment
at
at a time
at breakfast
at first
at home
at last
at least
at night
at once
at one time
at present
at school
at sea
at the age of
at the beginning of
at the bottom
at the latest
at the mercy of
at the same time
at work
athlete
athletic
atmosphere
atom
attach
attack
attempt
attend
attention
attitude
attract
attraction
attractive
audience
August
aunt
Australia
Australian
author
authority
automatic
autumn
available
avenue
average
avoid
awake
award
aware
away
awful
awkward
baby
back
background
backward
bacterium
bad
badly
badminton
bag
baggage
bake
balance
ball
balloon
bamboo
ban
banana
band
bank
bar
barber
bare
bargain
base
baseball
basic
basin
basis
basket
basketball
bath
bathe
bathroom
battle
battlefield
bay
BC
be
be about to
be afraid of
be born
be busy doing sth
be covered with
be familiar with
be famous for
be fond of
be full of
be good at
be in love with
be made from
be made in
be made of
be made up of
be proud of
be related to
be seated
be strict with
be used to
beach
beam
bean
beancurd
bear
beard
beat
beautiful
beauty
because
because of
become
bed
bedclothes
bedroom
bee
beef
beehive
beer
before
before long
beg
beg one's pardon
begin
beginning
behave
behaviour
behind
being
belief
believe
believe in
bell
belong
belong to
below
belt
bench
bend
beneath
benefit
bent
beside
besides
best
best-seller
better
between
beyond
bicycle
bid
big
bill
billion
biology
bird
birth
birthday
birthplace
biscuit
bison
bit
bite
bitter
black
blackboard
blame
blank
blanket
bleed
bless
blind
block
blood
blouse
blow
blue
board
boat
body
boil
bomb
bone
book
bookmark
bookstore
border
bored
boring
born
borrow
boss
botany
both
bother
bottle
bottom
bowl
box
boy
boyfriend
brain
brake
branch
brand
brave
bravery
bread
break
break away from
break down
break into
break off
break out
break the rule
break up
breakfast
breath
breathe
breathless
brick
bride
bridge
brief
bright
bring
bring down
bring in
bring on
bring up
Britain
British
broad
broadcast
brochure
broom
brother
brotherhood
brown
brush
bucket
budget
build
build up
building
burden
burial
burn
burn down
burst
burst into laughter
bury
bus
bush
business
businessman
busy
but
butcher
butter
butterfly
button
buy
by
by accident
by air
by mistake
by sea
by the way
bye
cabbage
cafe
cafeteria
cage
cake
calculate
calendar
call
call back
call for
call in
call on
calm
calorie
camera
camp
campaign
can
Canada
Canadian
canal
cancel
cancer
candidate
candle
candy
cap
capital
capsule
captain
car
card
cardigan
care
care for
careful
careless
carelessly
Carol
carpet
carriage
carrot
carry
carry off
carry on
carry out
cart
cartoon
carve
case
cash
cassette
castle
castor
casual
cat
catch
catch fire
catch up with
cattle
cause
cautious
cave
ceiling
celebrate
celebration
cell
cent
centimetre
central
centre
century
ceremony
certain
certainly
chain
chair
chairman
chalk
challenge
chance
change
change one's mind
channel
chapter
character
characteristic
charge
chart
chat
cheap
cheaply
cheat
check
check out
cheek
cheer
cheese
chemical
chemist
chemistry
cheque
chess
chest
chew
chicken
chief
child
childhood
chime
chimney
China
China Radio International
Chinese
chocolate
choice
choose
chopsticks
Christian
Christmas
church
cigar
cigarette
cinema
circle
citizen
city
civil
civilisation
clap
clarify
class
classic
classmate
classroom
clean
clear
clear away
clear up
clerk
clever
climate
climb
clinic
clock
close
cloth
clothes
clothing
cloud
cloudy
club
coach
coal
coast
coastline
coat
cock
cocoa
coffee
coin
coke
cold
cold-blooded
collar
colleague
collect
collection
college
colour
comb
combine
come
come about
come across
come down
come from
come in
come off
come on
come out
come to
come true
come up
comedy
comfort
comfortable
command
comment
commercial
committee
common
communicate
communication
communism
communist
community
companion
company
compare
compare with
comparison
compete
competition
competitor
complete
completely
complex
composition
comprehension
compressed
computer
comrade
conceited
concentrate
concept
concern
concert
conclude
conclusion
concrete
condition
conduct
conductor
conference
confident
confirm
conflict
confuse
congratulate
congratulation
conjecture
connect
connect with
connection
consequence
consider
considerate
consist
constant
construct
construction
consult
consume
contain
container
content
continent
continue
contrary
contrast
contribute
contribution
control
convenience
convenient
conversation
convey
convince
cook
cookbook
cool
cooperation
copy
coral
corn
corner
corporation
correct
correction
cost
cottage
cotton
cough
count
counter
country
countryside
couple
courage
course
court
courtyard
